ETF Name,Issuer,ISIN,CCY,TER(bps),AUM(M),AUM Raw,Date
Finamex Mexico S&P/BMV International UMS Sovereign Bond 5-10yr UCITS ETF – Acc,HANetf,IE000RI14ZD9,USD,55.00,60.75,$60.75,07/07/2026
Gold Miners Screened UCITS ETF – Acc,HANetf,IE00BNTVVR89,USD,60.00,59.88,$59.88,07/07/2026
Sprott Junior Uranium Miners UCITS ETF – Acc,HANetf,IE00075IVKF9,USD,85.00,58.79,$58.79,07/07/2026
JURY Global High Dividend UCITS ETF – Dist,HANetf,IE0002HWPU75,USD,60.00,57.16,$57.16,07/07/2026
Sprott Physical Uranium ETC,HANetf,XS2937253818,USD,55.00,56.35,$56.35,07/07/2026
Defiance AI & Power Infrastructure UCITS ETF – Acc,HANetf,IE000WUTBLT5,USD,69.00,49.06,$49.06,07/07/2026
The Royal Mint Responsibly Sourced Physical Gold CHF Hedged ETC,HANetf,XS2892962718,,35.00,38.67,₣38.67,07/07/2026
REX Tech Innovation Premium Income UCITS ETF – Dist,HANetf,IE000HF69TA9,USD,65.00,37.85,$37.85,07/07/2026
Saba Capital Investment Trusts UCITS ETF – Acc,HANetf,IE0008RSSHT4,GBP,150.00,37.26,£37.26,07/07/2026
Defiance Drone UCITS ETF – Acc,HANetf,IE0003XW12I8,USD,69.00,36.87,$36.87,07/07/2026
Amerant Latin American Debt UCITS ETF – Dist,HANetf,IE000Y187J49,USD,85.00,30.91,$30.91,07/07/2026
2x Long Bitcoin ETP,HANetf,XS2937253651,SEK,200.00,30.22,SEK 30.22,07/07/2026
2x Short Bitcoin ETP,HANetf,XS2948761114,SEK,200.00,26.11,SEK 26.11,07/07/2026
2x Long Ethereum ETP,HANetf,XS2937253735,SEK,200.00,24.44,SEK 24.44,07/07/2026
Kotak Indo-Pacific Defence UCITS ETF – Acc,HANetf,IE000C7EUDG1,USD,59.00,22.68,$22.68,07/07/2026
Jupiter Global Government Bond Active UCITS ETF GBP Hedged – Acc,HANetf,IE000U00VD47,USD,30.00,22.54,$22.54,07/07/2026
Jupiter Global Government Bond Active UCITS ETF – Acc,HANetf,IE000GDU4WA8,USD,30.00,22.54,$22.54,07/07/2026
Saturna Al-Kawthar Global Focused Equity UCITS ETF – Acc,HANetf,IE00BMYMHS24,USD,75.00,22.16,$22.16,07/07/2026
US Global Investors Travel UCITS ETF – Acc,HANetf,IE00BMFNW783,USD,69.00,21.74,$21.74,07/07/2026
Goshawk Global Balanced UCITS ETF – Acc,HANetf,IE00BL643144,USD,69.00,21.47,$21.47,07/07/2026
REX Crypto Equity Income & Growth UCITS ETF – Dist,HANetf,IE0008BA4TY1,USD,65.00,20.96,$20.96,07/07/2026
Jupiter Origin Global Smaller Companies Active UCITS ETF – Acc,HANetf,IE000AN3AFZ1,USD,45.00,19.93,$19.93,07/07/2026
Guinness Sustainable Energy UCITS ETF – Acc,HANetf,IE00BNC1F287,USD,65.00,19.15,$19.15,07/07/2026
Bitwise MSCI Digital Assets Select 20 ETP,HANetf,DE000A3G3ZL3,USD,85.00,16.06,$16.06,07/07/2026
Defiance Ukraine Reconstruction UCITS ETF – Acc,HANetf,IE000R8PO127,EUR,65.00,15.76,€15.76,07/07/2026
Making Europe Great Again UCITS ETF – Acc,HANetf,IE0007WMHDE3,EUR,60.00,15.72,€15.72,07/07/2026
The Royal Mint Responsibly Sourced Physical Gold GBP Hedged ETC,HANetf,XS2892961827,GBP,35.00,15.42,£15.42,07/07/2026
YieldMax® Semiconductor Option Income UCITS ETF – Dist,HANetf,IE000T8QD852,USD,99.00,15.31,$15.31,07/07/2026
Harbor Health Care UCITS ETF – Acc,HANetf,IE00BJQTJ848,USD,89.00,15.28,$15.28,07/07/2026
REX Tech Innovation Income & Growth UCITS ETF – Dist,HANetf,IE000OBK3UE0,USD,65.00,14.59,$14.59,07/07/2026
Infrastructure Capital Preferred Income UCITS ETF – Dist,HANetf,IE0008LRGGP4,USD,80.00,13.63,$13.63,07/07/2026
YieldMax® MSTR Option Income Strategy ETC,HANetf,XS3087774306,USD,59.00,13.47,$13.47,07/07/2026
KRC Cat Bond UCITS ETF – Acc,HANetf,IE000UWJUW87,USD,128.00,12.95,$12.95,07/07/2026
Bitwise Physical Solana ETP,HANetf,DE000A3GVKZ1,USD,195.00,11.38,$11.38,07/07/2026
ETC Group Web 3.0 UCITS ETF – Acc,HANetf,IE000KDY10O3,USD,65.00,9.62,$9.62,07/07/2026
INQQ India Internet UCITS ETF – Acc,HANetf,IE000WYTQSF9,USD,86.00,9.55,$9.55,07/07/2026
YieldMax® Future of Defence Option Income UCITS ETF,HANetf,IE000TAA0GK0,USD,99.00,9.41,$9.41,07/07/2026
Future of Defence Screened UCITS ETF – Acc,HANetf,IE00041H4WT9,USD,49.00,6.81,$6.81,07/07/2026
Performance Trust Total Return Bond UCITS ETF – Acc,HANetf,IE000X5OD4M3,USD,75.00,4.39,$4.39,07/07/2026
Bitwise Physical Litecoin ETP,HANetf,DE000A3GN5J9,USD,200.00,4.22,$4.22,07/07/2026
YieldMax® Ultra Option Income Strategy ETC,HANetf,XS3218061631,USD,59.00,2.52,$2.52,07/07/2026
Nuclear Renaissance UCITS ETF – Acc,HANetf,IE0006WPPA00,USD,85.00,2.14,$2.14,07/07/2026
Sprott Silver Miners & Physical Silver UCITS ETF – Acc,HANetf,IE0008WICO06,USD,65.00,1.87,$1.87,07/07/2026
Bitwise Physical Cardano ETP,HANetf,DE000A3GVKY4,USD,195.00,1.48,$1.48,07/07/2026
Regan Total Return Income UCITS ETF – Acc,HANetf,IE000TD32PU3,USD,75.00,1.06,$1.06,07/07/2026
Fundstrat Granny Shots US Large Cap UCITS ETF – Acc,HANetf,IE000OQGOX00,USD,75.00,1.04,$1.04,07/07/2026
