etf_listing_name,issuer,isin,ccy,ter,aum_m
JPM Global ex US Research Enhanced Index Equity Active UCITS ETF - USD (dist),J.P. Morgan Asset Management,IE000QC2YB58,USD,0.25,9.93
JPM Global Government Bond Active UCITS ETF - EUR Hedged (acc),J.P. Morgan Asset Management,IE0008P6LL15,EUR,0.23,683.75
JPM Global Government Bond Active UCITS ETF - GBP Hedged (acc),J.P. Morgan Asset Management,IE000TWNMI25,GBP,0.23,683.75
JPM Global Government Bond Active UCITS ETF - GBP Hedged (dist),J.P. Morgan Asset Management,IE000CJUN9X7,GBP,0.23,683.75
JPM Global Government Bond Active UCITS ETF - USD (acc),J.P. Morgan Asset Management,IE000JS4ANL9,USD,0.23,683.75
JPM Global Government Bond Active UCITS ETF - USD (dist),J.P. Morgan Asset Management,IE0005NMTKY4,USD,0.23,683.75
JPM Global Government Bond Active UCITS ETF - USD Hedged (acc),J.P. Morgan Asset Management,IE000WFXD0F2,USD,0.23,683.75
JPM Global High Yield Corporate Bond Multi-Factor Active UCITS ETF - CHF Hedged (acc),J.P. Morgan Asset Management,IE000MO5BTJ4,CHF,0.35,342.24
JPM Global High Yield Corporate Bond Multi-Factor Active UCITS ETF - EUR Hedged (dist),J.P. Morgan Asset Management,IE000YK1TO74,EUR,0.35,342.24
JPM Global High Yield Corporate Bond Multi-Factor Active UCITS ETF - GBP Hedged (dist),J.P. Morgan Asset Management,IE00BKV0QF55,GBP,0.35,342.24
JPM Global High Yield Corporate Bond Multi-Factor Active UCITS ETF - USD (acc),J.P. Morgan Asset Management,IE00BKKCKJ46,USD,0.35,342.24
JPM Global High Yield Corporate Bond Multi-Factor Active UCITS ETF - USD (dist),J.P. Morgan Asset Management,IE000SB9GY21,USD,0.35,342.24
JPM Global High Yield Corporate Bond Multi-Factor Active UCITS ETF - USD Hedged (acc),J.P. Morgan Asset Management,IE00BL0BLZ15,USD,0.35,342.24
JPM Global IG Corporate Bond Active UCITS ETF - EUR Hedged (acc),J.P. Morgan Asset Management,IE00048C5NZ0,EUR,0.25,519.31
JPM Global IG Corporate Bond Active UCITS ETF - GBP Hedged (acc),J.P. Morgan Asset Management,IE00098S8RU7,GBP,0.25,519.31
JPM Global IG Corporate Bond Active UCITS ETF - GBP Hedged (dist),J.P. Morgan Asset Management,IE000L6RGYI5,GBP,0.25,519.31
JPM Global IG Corporate Bond Active UCITS ETF - USD (acc),J.P. Morgan Asset Management,IE000S2QZKI8,USD,0.25,519.31
JPM Global IG Corporate Bond Active UCITS ETF - USD (dist),J.P. Morgan Asset Management,IE00064KQDB3,USD,0.25,519.31
JPM Global IG Corporate Bond Active UCITS ETF - USD Hedged (acc),J.P. Morgan Asset Management,IE000Y2AQPY9,USD,0.25,519.31
JPM Global Research Enhanced Index Equity Active UCITS ETF - EUR (acc),J.P. Morgan Asset Management,IE0005MWBFR7,EUR,0.25,10084.51
JPM Global Research Enhanced Index Equity Active UCITS ETF - EUR Hedged (acc),J.P. Morgan Asset Management,IE0000UW95D6,EUR,0.25,10084.51
JPM Global Research Enhanced Index Equity Active UCITS ETF - GBP Hedged (acc),J.P. Morgan Asset Management,IE000D9DX847,GBP,0.25,10084.51
JPM Global Research Enhanced Index Equity Active UCITS ETF - GBP Hedged (dist),J.P. Morgan Asset Management,IE0005S7BIT0,GBP,0.25,10084.51
JPM Global Research Enhanced Index Equity Active UCITS ETF - USD (acc),J.P. Morgan Asset Management,IE00BF4G6Y48,USD,0.25,10084.51
JPM Global Research Enhanced Index Equity Active UCITS ETF - USD (dist),J.P. Morgan Asset Management,IE000HFXP0D2,USD,0.25,10084.51
JPM Global Research Enhanced Index Equity SRI Paris Aligned Active UCITS ETF - CHF Hedged (acc),J.P. Morgan Asset Management,IE000RC2UNU0,CHF,0.25,973.43
JPM Global Research Enhanced Index Equity SRI Paris Aligned Active UCITS ETF - EUR (acc),J.P. Morgan Asset Management,IE0003JSNHV9,EUR,0.25,973.43
JPM Global Research Enhanced Index Equity SRI Paris Aligned Active UCITS ETF - EUR Hedged (acc),J.P. Morgan Asset Management,IE000UZIKD07,EUR,0.25,973.43
JPM Global Research Enhanced Index Equity SRI Paris Aligned Active UCITS ETF - USD (acc),J.P. Morgan Asset Management,IE000BXC49I6,USD,0.25,973.43
JPM Global Research Enhanced Index Equity SRI Paris Aligned Active UCITS ETF - USD (dist),J.P. Morgan Asset Management,IE000FYTRRJ6,USD,0.25,973.43
JPM India Research Enhanced Index Equity Active UCITS ETF - USD (acc),J.P. Morgan Asset Management,IE000ZAJ6XQ2,USD,0.4,80.75
JPM India Research Enhanced Index Equity Active UCITS ETF - USD (dist),J.P. Morgan Asset Management,IE000XE6ELZ8,USD,0.4,80.75
JPM Japan Research Enhanced Index Equity Active UCITS ETF - CHF Hedged (acc),J.P. Morgan Asset Management,IE0003B6RHN4,CHF,0.25,879.48
JPM Japan Research Enhanced Index Equity Active UCITS ETF - EUR Hedged (acc),J.P. Morgan Asset Management,IE000QGWZZO0,EUR,0.25,879.48
JPM Japan Research Enhanced Index Equity Active UCITS ETF - JPY (acc),J.P. Morgan Asset Management,IE0001A541Y3,JPY,0.25,879.48
JPM Japan Research Enhanced Index Equity Active UCITS ETF - USD (acc),J.P. Morgan Asset Management,IE00BP2NF958,USD,0.25,879.48
JPM Japan Research Enhanced Index Equity Active UCITS ETF - USD (dist),J.P. Morgan Asset Management,IE00005YSIA4,USD,0.25,879.48
JPM Nasdaq Equity Premium Income Active UCITS ETF - EUR (dist),J.P. Morgan Asset Management,IE0006CJGQR9,EUR,0.35,3527.37
JPM Nasdaq Equity Premium Income Active UCITS ETF - EUR Hedged (dist),J.P. Morgan Asset Management,IE0006FIW9Z0,EUR,0.35,3527.37
JPM Nasdaq Equity Premium Income Active UCITS ETF - USD (acc),J.P. Morgan Asset Management,IE000N6I8IU2,USD,0.35,3527.37
JPM Nasdaq Equity Premium Income Active UCITS ETF - USD (dist),J.P. Morgan Asset Management,IE000U9J8HX9,USD,0.35,3527.37
JPM Nasdaq Hedged Equity Laddered Overlay Active UCITS ETF - USD (acc),J.P. Morgan Asset Management,IE000JIPY1U8,USD,0.5,19.78
JPM Nasdaq Hedged Equity Laddered Overlay Active UCITS ETF - USD (dist),J.P. Morgan Asset Management,IE0006UQKVQ0,USD,0.5,19.78
JPM Strategic Allocation Conservative Active UCITS ETF - EUR (acc),J.P. Morgan Asset Management,IE000FASRFS4,EUR,0.35,5.65
JPM Strategic Allocation Growth Active UCITS ETF - EUR (acc),J.P. Morgan Asset Management,IE000MVWFDH1,EUR,0.35,6.37
JPM Strategic Allocation Moderate Active UCITS ETF - EUR (acc),J.P. Morgan Asset Management,IE000TWAN2K7,EUR,0.35,5.95
JPM UK Equity Core Active UCITS ETF - GBP (acc),J.P. Morgan Asset Management,IE0009YQE5W1,GBP,0.25,523.76
JPM UK Equity Core Active UCITS ETF - GBP (dist),J.P. Morgan Asset Management,IE000TZT3JJ0,GBP,0.25,523.76
JPM US Equity Active UCITS ETF - EUR Hedged (acc),J.P. Morgan Asset Management,IE000BZFW5H7,EUR,0.39,55.49
JPM US Equity Active UCITS ETF - USD (acc),J.P. Morgan Asset Management,IE000RSCXLM4,USD,0.39,55.49
JPM US Equity Active UCITS ETF - USD (dist),J.P. Morgan Asset Management,IE0007ILCZU4,USD,0.39,55.49
JPM US Equity Premium Income Active UCITS ETF - EUR (dist),J.P. Morgan Asset Management,IE000RE0SQM6,EUR,0.35,513.58
JPM US Equity Premium Income Active UCITS ETF - EUR Hedged (dist),J.P. Morgan Asset Management,IE0006YCYW06,EUR,0.35,513.58
JPM US Equity Premium Income Active UCITS ETF - USD (acc),J.P. Morgan Asset Management,IE0000EAPBT6,USD,0.35,513.58
JPM US Equity Premium Income Active UCITS ETF - USD (dist),J.P. Morgan Asset Management,IE000U5MJOZ6,USD,0.35,513.58
JPM US Growth Equity Active UCITS ETF - EUR Hedged (acc),J.P. Morgan Asset Management,IE000UZZ5SU2,EUR,0.49,398.42
JPM US Growth Equity Active UCITS ETF - USD (acc),J.P. Morgan Asset Management,IE0005CH3U28,USD,0.49,398.42
JPM US Growth Equity Active UCITS ETF - USD (dist),J.P. Morgan Asset Management,IE0003KQ8JX1,USD,0.49,398.42
JPM US Hedged Equity Laddered Overlay Active UCITS ETF - USD (acc),J.P. Morgan Asset Management,IE000VAZZYM3,USD,0.5,15.42
JPM US Hedged Equity Laddered Overlay Active UCITS ETF - USD (dist),J.P. Morgan Asset Management,IE000K4JG8P9,USD,0.5,15.42
JPM US Research Enhanced Index Equity Active UCITS ETF - CHF Hedged (acc),J.P. Morgan Asset Management,IE000K54GGV6,CHF,0.2,14982.47
JPM US Research Enhanced Index Equity Active UCITS ETF - EUR (acc),J.P. Morgan Asset Management,IE000W85O7M4,EUR,0.2,14982.47
