ETF Name,Issuer,ISIN,CCY,TER(bps),AUM(M),Date
L&G Russell 2000 US Small Cap Quality UCITS ETF,L&G,IE00B3CNHJ55,GBP,30,211.22,2026-06-24
L&G Russell 2000 US Small Cap Quality UCITS ETF,L&G,IE00B3CNHJ55,USD,30,211.22,2026-06-24
L&G Russell 2000 US Small Cap Quality UCITS ETF,L&G,IE00B3CNHJ55,EUR,30,211.22,2026-06-24
L&G Gold Mining UCITS ETF,L&G,IE00B3CNHG25,GBP,55,656.49,2026-06-24
L&G Gold Mining UCITS ETF,L&G,IE00B3CNHG25,USD,55,656.49,2026-06-24
L&G Gold Mining UCITS ETF,L&G,IE00B3CNHG25,EUR,55,656.49,2026-06-24
L&G Gold Mining UCITS ETF,L&G,IE00B3CNHG25,CHF,55,656.49,2026-06-24
L&G Gold Mining UCITS ETF,L&G,IE00B3CNHG25,MXN,55,656.49,2026-06-24
L&G ROBO Global Robotics and Automation UCITS ETF,L&G,IE00BMW3QX54,EUR,80,1715.25,2026-06-24
L&G ROBO Global Robotics and Automation UCITS ETF,L&G,IE00BMW3QX54,GBP,80,1715.25,2026-06-24
L&G ROBO Global Robotics and Automation UCITS ETF,L&G,IE00BMW3QX54,USD,80,1715.25,2026-06-24
L&G ROBO Global Robotics and Automation UCITS ETF,L&G,IE00BMW3QX54,CHF,80,1715.25,2026-06-24
L&G ROBO Global Robotics and Automation UCITS ETF,L&G,IE00BMW3QX54,MXN,80,1715.25,2026-06-24
L&G Cyber Security UCITS ETF,L&G,IE00BYPLS672,GBP,69,3286.3,2026-06-24
L&G Cyber Security UCITS ETF,L&G,IE00BYPLS672,USD,69,3286.3,2026-06-24
L&G Cyber Security UCITS ETF,L&G,IE00BYPLS672,EUR,69,3286.3,2026-06-24
L&G Cyber Security UCITS ETF,L&G,IE00BYPLS672,CHF,69,3286.3,2026-06-24
L&G Cyber Security UCITS ETF,L&G,IE00BYPLS672,MXN,69,3286.3,2026-06-24
L&G Battery Value-Chain UCITS ETF,L&G,IE00BF0M2Z96,GBP,49,936.03,2026-06-24
L&G Battery Value-Chain UCITS ETF,L&G,IE00BF0M2Z96,USD,49,936.03,2026-06-24
L&G Battery Value-Chain UCITS ETF,L&G,IE00BF0M2Z96,EUR,49,936.03,2026-06-24
L&G Battery Value-Chain UCITS ETF,L&G,IE00BF0M2Z96,CHF,49,936.03,2026-06-24
L&G Battery Value-Chain UCITS ETF,L&G,IE00BF0M2Z96,MXN,49,936.03,2026-06-24
L&G Pharma Breakthrough UCITS ETF,L&G,IE00BF0H7608,GBP,49,19.43,2026-06-24
L&G Pharma Breakthrough UCITS ETF,L&G,IE00BF0H7608,USD,49,19.43,2026-06-24
L&G Pharma Breakthrough UCITS ETF,L&G,IE00BF0H7608,EUR,49,19.43,2026-06-24
L&G Pharma Breakthrough UCITS ETF,L&G,IE00BF0H7608,CHF,49,19.43,2026-06-24
L&G Ecommerce Logistics UCITS ETF,L&G,IE00BF0M6N54,GBP,49,68.01,2026-06-24
L&G Ecommerce Logistics UCITS ETF,L&G,IE00BF0M6N54,USD,49,68.01,2026-06-24
L&G Ecommerce Logistics UCITS ETF,L&G,IE00BF0M6N54,EUR,49,68.01,2026-06-24
L&G Ecommerce Logistics UCITS ETF,L&G,IE00BF0M6N54,CHF,49,68.01,2026-06-24
L&G Ecommerce Logistics UCITS ETF,L&G,IE00BF0M6N54,MXN,49,68.01,2026-06-24
L&G Longer Dated All Commodities UCITS ETF,L&G,IE00B4WPHX27,GBP,30,988.32,2026-06-24
L&G Longer Dated All Commodities UCITS ETF,L&G,IE00B4WPHX27,USD,30,988.32,2026-06-24
L&G Longer Dated All Commodities UCITS ETF,L&G,IE00B4WPHX27,EUR,30,988.32,2026-06-24
L&G Longer Dated All Commodities UCITS ETF,L&G,IE00B4WPHX27,CHF,30,988.32,2026-06-24
L&G All Commodities UCITS ETF,L&G,IE00BF0BCP69,GBP,15,395.9,2026-06-24
L&G All Commodities UCITS ETF,L&G,IE00BF0BCP69,USD,15,395.9,2026-06-24
L&G All Commodities UCITS ETF,L&G,IE00BF0BCP69,EUR,15,395.9,2026-06-24
L&G DAX Daily 2x Long UCITS ETF,L&G,IE00B4QNHH68,EUR,40,43.53,2026-06-24
L&G DAX Daily 2x Long UCITS ETF,L&G,IE00B4QNHH68,GBP,40,43.53,2026-06-24
L&G DAX Daily 2x Short UCITS ETF,L&G,IE00B4QNHZ41,EUR,50,22.41,2026-06-24
L&G DAX Daily 2x Short UCITS ETF,L&G,IE00B4QNHZ41,GBP,50,22.41,2026-06-24
L&G FTSE 100 Leveraged (Daily 2x) UCITS ETF,L&G,IE00B4QNJJ23,GBP,50,23.36,2026-06-24
L&G FTSE 100 Super Short Strategy (Daily 2x) UCITS ETF,L&G,IE00B4QNK008,GBP,60,5.85,2026-06-24
L&G US Equity UCITS ETF,L&G,IE00BFXR5Q31,GBP,500,1487.39,2026-06-24
L&G US Equity UCITS ETF,L&G,IE00BFXR5Q31,USD,500,1487.39,2026-06-24
L&G US Equity UCITS ETF,L&G,IE00BFXR5Q31,EUR,500,1487.39,2026-06-24
L&G UK Equity UCITS ETF,L&G,IE00BFXR5R48,GBP,500,176.93,2026-06-24
L&G UK Equity UCITS ETF,L&G,IE00BFXR5R48,EUR,500,176.93,2026-06-24
L&G Global Equity UCITS ETF,L&G,IE00BFXR5S54,GBP,10,1602.92,2026-06-24
L&G Global Equity UCITS ETF,L&G,IE00BFXR5S54,USD,10,1602.92,2026-06-24
L&G Global Equity UCITS ETF,L&G,IE00BFXR5S54,EUR,10,1602.92,2026-06-24
L&G Japan Equity UCITS ETF,L&G,IE00BFXR5T61,GBP,10,858.01,2026-06-24
L&G Japan Equity UCITS ETF,L&G,IE00BFXR5T61,USD,10,858.01,2026-06-24
