Workbook Provider,ISIN,DistinctISINCount,Status,Latest Provider Hits,Repo File Hit Count,Repo File Samples
Amundi ETF,FR0010315770,211,present_in_latest,amundi,8,C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\amundi\2026-06-23\amundi_selected_fields.csv; C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\amundi\2026-06-24\amundi_selected_fields.csv; C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\amundi\2026-06-25\amundi_selected_fields.csv; C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\amundi\2026-06-28\amundi_selected_fields.csv; C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\amundi\2026-06-29\amundi_selected_fields.csv
Amundi ETF,FR0010375766,211,present_in_latest,amundi,8,C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\amundi\2026-06-23\amundi_selected_fields.csv; C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\amundi\2026-06-24\amundi_selected_fields.csv; C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\amundi\2026-06-25\amundi_selected_fields.csv; C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\amundi\2026-06-28\amundi_selected_fields.csv; C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\amundi\2026-06-29\amundi_selected_fields.csv
Amundi ETF,FR0010435297,211,present_in_latest,amundi,8,C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\amundi\2026-06-23\amundi_selected_fields.csv; C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\amundi\2026-06-24\amundi_selected_fields.csv; C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\amundi\2026-06-25\amundi_selected_fields.csv; C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\amundi\2026-06-28\amundi_selected_fields.csv; C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\amundi\2026-06-29\amundi_selected_fields.csv
Amundi ETF,FR0010510800,211,present_in_latest,amundi,8,C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\amundi\2026-06-23\amundi_selected_fields.csv; C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\amundi\2026-06-24\amundi_selected_fields.csv; C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\amundi\2026-06-25\amundi_selected_fields.csv; C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\amundi\2026-06-28\amundi_selected_fields.csv; C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\amundi\2026-06-29\amundi_selected_fields.csv
Amundi ETF,FR0010524777,211,present_in_latest,amundi,8,C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\amundi\2026-06-23\amundi_selected_fields.csv; C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\amundi\2026-06-24\amundi_selected_fields.csv; C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\amundi\2026-06-25\amundi_selected_fields.csv; C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\amundi\2026-06-28\amundi_selected_fields.csv; C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\amundi\2026-06-29\amundi_selected_fields.csv
Amundi ETF,FR0010527275,211,present_in_latest,amundi,8,C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\amundi\2026-06-23\amundi_selected_fields.csv; C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\amundi\2026-06-24\amundi_selected_fields.csv; C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\amundi\2026-06-25\amundi_selected_fields.csv; C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\amundi\2026-06-28\amundi_selected_fields.csv; C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\amundi\2026-06-29\amundi_selected_fields.csv
Amundi ETF,FR0010655712,211,present_in_latest,amundi,8,C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\amundi\2026-06-23\amundi_selected_fields.csv; C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\amundi\2026-06-24\amundi_selected_fields.csv; C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\amundi\2026-06-25\amundi_selected_fields.csv; C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\amundi\2026-06-28\amundi_selected_fields.csv; C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\amundi\2026-06-29\amundi_selected_fields.csv
Amundi ETF,FR0010655746,211,present_in_latest,amundi,8,C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\amundi\2026-06-23\amundi_selected_fields.csv; C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\amundi\2026-06-24\amundi_selected_fields.csv; C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\amundi\2026-06-25\amundi_selected_fields.csv; C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\amundi\2026-06-28\amundi_selected_fields.csv; C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\amundi\2026-06-29\amundi_selected_fields.csv
Amundi ETF,FR0010930644,211,present_in_latest,amundi,8,C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\amundi\2026-06-23\amundi_selected_fields.csv; C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\amundi\2026-06-24\amundi_selected_fields.csv; C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\amundi\2026-06-25\amundi_selected_fields.csv; C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\amundi\2026-06-28\amundi_selected_fields.csv; C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\amundi\2026-06-29\amundi_selected_fields.csv
Amundi ETF,FR0011669845,211,present_in_latest,amundi,8,C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\amundi\2026-06-23\amundi_selected_fields.csv; C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\amundi\2026-06-24\amundi_selected_fields.csv; C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\amundi\2026-06-25\amundi_selected_fields.csv; C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\amundi\2026-06-28\amundi_selected_fields.csv; C:\Users\Bochra\OneDrive\Desktop\etf-extractor\providers\amundi\2026-06-29\amundi_selected_fields.csv
