ETF Name,Issuer,ISIN,CCY,TER(bps),AUM(M),AUM Raw,Date
Defiance Ukraine Reconstruction UCITS ETF – Acc,HANetf,IE000R8PO127,EUR,65.00,15.41,€15.41,30/06/2026
Making Europe Great Again UCITS ETF – Acc,HANetf,IE0007WMHDE3,EUR,60.00,15.07,€15.07,30/06/2026
The Royal Mint Responsibly Sourced Physical Gold GBP Hedged ETC,HANetf,XS2892961827,GBP,35.00,15.03,£15.03,30/06/2026
Harbor Health Care UCITS ETF – Acc,HANetf,IE00BJQTJ848,USD,89.00,14.89,$14.89,30/06/2026
Bitwise MSCI Digital Assets Select 20 ETP,HANetf,DE000A3G3ZL3,USD,85.00,14.81,$14.81,30/06/2026
YieldMax® Semiconductor Option Income UCITS ETF – Dist,HANetf,IE000T8QD852,USD,99.00,14.70,$14.70,30/06/2026
REX Tech Innovation Income & Growth UCITS ETF – Dist,HANetf,IE000OBK3UE0,USD,65.00,14.36,$14.36,30/06/2026
Infrastructure Capital Preferred Income UCITS ETF – Dist,HANetf,IE0008LRGGP4,USD,80.00,13.53,$13.53,30/06/2026
KRC Cat Bond UCITS ETF – Acc,HANetf,IE000UWJUW87,USD,128.00,12.93,$12.93,30/06/2026
YieldMax® MSTR Option Income Strategy ETC,HANetf,XS3087774306,USD,59.00,12.63,$12.63,30/06/2026
Bitwise Physical Solana ETP,HANetf,DE000A3GVKZ1,USD,195.00,10.79,$10.79,30/06/2026
Defiance Memory UCITS ETF – Acc,HANetf,IE000CEUZ052,USD,69.00,9.81,$9.81,30/06/2026
INQQ India Internet UCITS ETF – Acc,HANetf,IE000WYTQSF9,USD,86.00,9.35,$9.35,30/06/2026
ETC Group Web 3.0 UCITS ETF – Acc,HANetf,IE000KDY10O3,USD,65.00,9.18,$9.18,30/06/2026
YieldMax® Future of Defence Option Income UCITS ETF,HANetf,IE000TAA0GK0,USD,99.00,8.85,$8.85,30/06/2026
Future of Defence Screened UCITS ETF – Acc,HANetf,IE00041H4WT9,USD,49.00,6.31,$6.31,30/06/2026
Performance Trust Total Return Bond UCITS ETF – Acc,HANetf,IE000X5OD4M3,USD,75.00,4.41,$4.41,30/06/2026
Bitwise Physical Litecoin ETP,HANetf,DE000A3GN5J9,USD,200.00,4.01,$4.01,30/06/2026
YieldMax® Ultra Option Income Strategy ETC,HANetf,XS3218061631,USD,59.00,2.53,$2.53,30/06/2026
Nuclear Renaissance UCITS ETF – Acc,HANetf,IE0006WPPA00,USD,85.00,2.15,$2.15,30/06/2026
Sprott Silver Miners & Physical Silver UCITS ETF – Acc,HANetf,IE0008WICO06,USD,65.00,1.87,$1.87,30/06/2026
Regan Total Return Income UCITS ETF – Acc,HANetf,IE000TD32PU3,USD,75.00,1.06,$1.06,30/06/2026
Bitwise Physical Cardano ETP,HANetf,DE000A3GVKY4,USD,195.00,1.04,$1.04,30/06/2026
Fundstrat Granny Shots US Large Cap UCITS ETF – Acc,HANetf,IE000OQGOX00,USD,75.00,1.02,$1.02,30/06/2026
