ETF Name,Issuer,ISIN,CCY,TER(bps),AUM(M),AUM CCY,Date
L&G Europe ex UK Equity UCITS ETF,L&G,IE00BFXR5V83,EUR,10,993.17,EUR,07/07/2026
L&G Europe ex UK Equity UCITS ETF,L&G,IE00BFXR5V83,GBP,10,993.17,EUR,07/07/2026
L&G Asia Pacific ex Japan Equity UCITS ETF,L&G,IE00BFXR5W90,GBP,10,749.85,USD,07/07/2026
L&G Asia Pacific ex Japan Equity UCITS ETF,L&G,IE00BFXR5W90,USD,10,749.85,USD,07/07/2026
L&G Asia Pacific ex Japan Equity UCITS ETF,L&G,IE00BFXR5W90,EUR,10,749.85,USD,07/07/2026
L&G Multi-Strategy Enhanced Commodities UCITS ETF,L&G,IE00BFXR6159,GBP,30,2817.94,USD,07/07/2026
L&G Multi-Strategy Enhanced Commodities UCITS ETF,L&G,IE00BFXR6159,USD,30,2817.94,USD,07/07/2026
L&G Multi-Strategy Enhanced Commodities UCITS ETF,L&G,IE00BFXR6159,EUR,30,2817.94,USD,07/07/2026
L&G Multi-Strategy Enhanced Commodities UCITS ETF,L&G,IE00BFXR6159,CHF,30,2817.94,USD,07/07/2026
L&G Multi-Strategy Enhanced Commodities UCITS ETF,L&G,IE000IYBMW97,USD,30,2817.94,USD,07/07/2026
L&G Multi-Strategy Enhanced Commodities UCITS ETF,L&G,IE00011CA799,GBP,35,2109.79,GBP,07/07/2026
L&G Multi-Strategy Enhanced Commodities UCITS ETF,L&G,IE0004O92CM1,GBP,30,2109.79,GBP,07/07/2026
L&G Multi-Strategy Enhanced Commodities UCITS ETF,L&G,IE0006BISQN7,CHF,35,2272.88,CHF,07/07/2026
L&G Multi-Strategy Enhanced Commodities UCITS ETF,L&G,IE00022GJEG1,EUR,35,2468.14,EUR,07/07/2026
L&G Artificial Intelligence UCITS ETF,L&G,IE00BK5BCD43,GBP,49,2089.86,USD,07/07/2026
L&G Artificial Intelligence UCITS ETF,L&G,IE00BK5BCD43,USD,49,2089.86,USD,07/07/2026
L&G Artificial Intelligence UCITS ETF,L&G,IE00BK5BCD43,EUR,49,2089.86,USD,07/07/2026
L&G Artificial Intelligence UCITS ETF,L&G,IE00BK5BCD43,CHF,49,2089.86,USD,07/07/2026
L&G Artificial Intelligence UCITS ETF,L&G,IE00BK5BCD43,MXN,49,2089.86,USD,07/07/2026
L&G Healthcare Technology & Innovation UCITS ETF,L&G,IE00BK5BC677,GBP,49,273.84,USD,07/07/2026
L&G Healthcare Technology & Innovation UCITS ETF,L&G,IE00BK5BC677,USD,49,273.84,USD,07/07/2026
L&G Healthcare Technology & Innovation UCITS ETF,L&G,IE00BK5BC677,EUR,49,273.84,USD,07/07/2026
L&G Healthcare Technology & Innovation UCITS ETF,L&G,IE00BK5BC677,CHF,49,273.84,USD,07/07/2026
L&G Clean Water UCITS ETF,L&G,IE00BK5BC891,GBP,49,728.01,USD,07/07/2026
L&G Clean Water UCITS ETF,L&G,IE00BK5BC891,USD,49,728.01,USD,07/07/2026
L&G Clean Water UCITS ETF,L&G,IE00BK5BC891,EUR,49,728.01,USD,07/07/2026
L&G Clean Water UCITS ETF,L&G,IE00BK5BC891,CHF,49,728.01,USD,07/07/2026
