ETF Name,Issuer,ISIN,CCY,TER(bps),AUM(M),AUM Raw,Date
YieldMax® Big Tech Option Income UCITS ETF – Dist,HANetf,IE000MMRLY96,USD,99.00,67.45,$67.45,06/07/2026
Bitwise Physical Ethereum ETP,HANetf,DE000A3GMKD7,USD,149.00,66.52,$66.52,06/07/2026
Finamex Mexico S&P/BMV International UMS Sovereign Bond 5-10yr UCITS ETF MXN Hedged – Acc,HANetf,IE000UGM8X46,USD,55.00,60.73,$60.73,06/07/2026
Finamex Mexico S&P/BMV International UMS Sovereign Bond 5-10yr UCITS ETF – Acc,HANetf,IE000RI14ZD9,USD,55.00,60.73,$60.73,06/07/2026
Gold Miners Screened UCITS ETF – Acc,HANetf,IE00BNTVVR89,USD,60.00,60.21,$60.21,06/07/2026
Defiance Memory UCITS ETF – Acc,HANetf,IE000CEUZ052,USD,69.00,60.06,$60.06,06/07/2026
Sprott Junior Uranium Miners UCITS ETF – Acc,HANetf,IE00075IVKF9,USD,85.00,59.20,$59.20,06/07/2026
JURY Global High Dividend UCITS ETF – Dist,HANetf,IE0002HWPU75,USD,60.00,57.37,$57.37,06/07/2026
Sprott Physical Uranium ETC,HANetf,XS2937253818,USD,55.00,56.82,$56.82,06/07/2026
Defiance AI & Power Infrastructure UCITS ETF – Acc,HANetf,IE000WUTBLT5,USD,69.00,47.70,$47.70,06/07/2026
The Royal Mint Responsibly Sourced Physical Gold CHF Hedged ETC,HANetf,XS2892962718,,35.00,38.89,₣38.89,06/07/2026
Saba Capital Investment Trusts UCITS ETF – Acc,HANetf,IE0008RSSHT4,GBP,150.00,37.44,£37.44,06/07/2026
REX Tech Innovation Premium Income UCITS ETF – Dist,HANetf,IE000HF69TA9,USD,65.00,37.30,$37.30,06/07/2026
Defiance Drone UCITS ETF – Acc,HANetf,IE0003XW12I8,USD,69.00,36.99,$36.99,06/07/2026
Amerant Latin American Debt UCITS ETF – Dist,HANetf,IE000Y187J49,USD,85.00,30.88,$30.88,06/07/2026
2x Long Bitcoin ETP,HANetf,XS2937253651,SEK,200.00,28.09,SEK 28.09,06/07/2026
2x Short Bitcoin ETP,HANetf,XS2948761114,SEK,200.00,28.01,SEK 28.01,06/07/2026
Jupiter Global Government Bond Active UCITS ETF GBP Hedged – Acc,HANetf,IE000U00VD47,USD,30.00,22.55,$22.55,06/07/2026
Jupiter Global Government Bond Active UCITS ETF – Acc,HANetf,IE000GDU4WA8,USD,30.00,22.55,$22.55,06/07/2026
Kotak Indo-Pacific Defence UCITS ETF – Acc,HANetf,IE000C7EUDG1,USD,59.00,22.46,$22.46,06/07/2026
Saturna Al-Kawthar Global Focused Equity UCITS ETF – Acc,HANetf,IE00BMYMHS24,USD,75.00,22.15,$22.15,06/07/2026
2x Long Ethereum ETP,HANetf,XS2937253735,SEK,200.00,22.00,SEK 22.00,06/07/2026
US Global Investors Travel UCITS ETF – Acc,HANetf,IE00BMFNW783,USD,69.00,21.73,$21.73,06/07/2026
Goshawk Global Balanced UCITS ETF – Acc,HANetf,IE00BL643144,USD,69.00,21.45,$21.45,06/07/2026
REX Crypto Equity Income & Growth UCITS ETF – Dist,HANetf,IE0008BA4TY1,USD,65.00,20.39,$20.39,06/07/2026
Jupiter Origin Global Smaller Companies Active UCITS ETF – Acc,HANetf,IE000AN3AFZ1,USD,45.00,19.91,$19.91,06/07/2026
Guinness Sustainable Energy UCITS ETF – Acc,HANetf,IE00BNC1F287,USD,65.00,19.08,$19.08,06/07/2026
Bitwise MSCI Digital Assets Select 20 ETP,HANetf,DE000A3G3ZL3,USD,85.00,16.01,$16.01,06/07/2026
Making Europe Great Again UCITS ETF – Acc,HANetf,IE0007WMHDE3,EUR,60.00,15.71,€15.71,06/07/2026
Defiance Ukraine Reconstruction UCITS ETF – Acc,HANetf,IE000R8PO127,EUR,65.00,15.60,€15.60,06/07/2026
The Royal Mint Responsibly Sourced Physical Gold GBP Hedged ETC,HANetf,XS2892961827,GBP,35.00,15.51,£15.51,06/07/2026
Harbor Health Care UCITS ETF – Acc,HANetf,IE00BJQTJ848,USD,89.00,15.44,$15.44,06/07/2026
YieldMax® Semiconductor Option Income UCITS ETF – Dist,HANetf,IE000T8QD852,USD,99.00,15.00,$15.00,06/07/2026
REX Tech Innovation Income & Growth UCITS ETF – Dist,HANetf,IE000OBK3UE0,USD,65.00,14.36,$14.36,06/07/2026
Infrastructure Capital Preferred Income UCITS ETF – Dist,HANetf,IE0008LRGGP4,USD,80.00,13.57,$13.57,06/07/2026
YieldMax® MSTR Option Income Strategy ETC,HANetf,XS3087774306,USD,59.00,13.41,$13.41,06/07/2026
KRC Cat Bond UCITS ETF – Acc,HANetf,IE000UWJUW87,USD,128.00,12.94,$12.94,06/07/2026
Bitwise Physical Solana ETP,HANetf,DE000A3GVKZ1,USD,195.00,11.55,$11.55,06/07/2026
INQQ India Internet UCITS ETF – Acc,HANetf,IE000WYTQSF9,USD,86.00,9.57,$9.57,06/07/2026
ETC Group Web 3.0 UCITS ETF – Acc,HANetf,IE000KDY10O3,USD,65.00,9.47,$9.47,06/07/2026
YieldMax® Future of Defence Option Income UCITS ETF,HANetf,IE000TAA0GK0,USD,99.00,9.36,$9.36,06/07/2026
Future of Defence Screened UCITS ETF – Acc,HANetf,IE00041H4WT9,USD,49.00,6.71,$6.71,06/07/2026
Performance Trust Total Return Bond UCITS ETF – Acc,HANetf,IE000X5OD4M3,USD,75.00,4.39,$4.39,06/07/2026
Bitwise Physical Litecoin ETP,HANetf,DE000A3GN5J9,USD,200.00,4.15,$4.15,06/07/2026
YieldMax® Ultra Option Income Strategy ETC,HANetf,XS3218061631,USD,59.00,2.48,$2.48,06/07/2026
Nuclear Renaissance UCITS ETF – Acc,HANetf,IE0006WPPA00,USD,85.00,2.13,$2.13,06/07/2026
Sprott Silver Miners & Physical Silver UCITS ETF – Acc,HANetf,IE0008WICO06,USD,65.00,1.87,$1.87,06/07/2026
Bitwise Physical Cardano ETP,HANetf,DE000A3GVKY4,USD,195.00,1.24,$1.24,06/07/2026
Regan Total Return Income UCITS ETF – Acc,HANetf,IE000TD32PU3,USD,75.00,1.06,$1.06,06/07/2026
Fundstrat Granny Shots US Large Cap UCITS ETF – Acc,HANetf,IE000OQGOX00,USD,75.00,1.03,$1.03,06/07/2026
